,Wins,Losses,Ties,AVG Rounds
rl_rules_trained,78.0,30.0,12.0,32.666666666666664
llm_mistral,61.0,53.0,6.0,26.799999999999997
ai,58.0,62.0,0.0,8.533333333333333
llm_llama3,53.0,62.0,5.0,24.933333333333334
random,34.0,77.0,9.0,30.6
llm_gpt4,0.0,0.0,0.0,0.0
rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,0.0,0.0,0.0,0.0
