,Wins,Losses,Ties,AVG Rounds
ai,112.0,68.0,0.0,20.5
llm_llama3,83.0,84.0,13.0,45.733333333333334
llm_mistral,79.0,84.0,17.0,41.56666666666667
rl_rules_trained,79.0,71.0,30.0,155.73333333333335
rl_llama3_trained,74.0,69.0,37.0,173.0
rl_mistral_trained,66.0,74.0,40.0,163.4
random,59.0,102.0,19.0,76.46666666666667
