,Wins,Losses,Ties,AVG Rounds
rl_rules_trained,87.0,18.0,4.0,19.48070175438596
ai,69.0,49.0,2.0,22.3
llm_llama3,58.0,51.0,0.0,21.480701754385965
llm_mistral,35.0,80.0,5.0,40.199999999999996
random,32.0,83.0,5.0,43.233333333333334
rl_gpt4_trained,0.0,0.0,0.0,0.0
rl_llama3_trained,0.0,0.0,0.0,0.0
rl_mistral_trained,0.0,0.0,0.0,0.0
